route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_172,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_171,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_170,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_169,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_167,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_166,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_165,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01381,IDFM:108219,IDFM:RATP:127519-C01381-COU_RATP_5094171_2467825_352,Mairie des Lilas,,0,,,2,0
IDFM:C01383,IDFM:108219,IDFM:RATP:125756-C01383-COU_RATP_5083943_2467829_192,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:108219,IDFM:RATP:125756-C01383-COU_RATP_5083943_2467829_191,Châtillon Montrouge,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_164,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01372,IDFM:108219,IDFM:RATP:107467-C01372-COU_RATP_4828769_2991121_275,Porte Dauphine (Maréchal de Lattre de Tassigny),,1,,,2,0
IDFM:C01372,IDFM:108219,IDFM:RATP:107467-C01372-COU_RATP_4828769_2991121_328,Porte Dauphine (Maréchal de Lattre de Tassigny),,1,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:124363-C01375-COU_RATP_5084015_3120422_258,Bobigny-Pablo-Picasso,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_162,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_161,Gallieni (Parc de Bagnolet),,0,,,2,0
